Endpoint,Authentication,BODY Parameters,Description,ERROR responses,Method,PATH Parameters,QUERY Parameters,Resource,SUCCESS response,Status,Use Cases
POST /operadores/login,None,"• email: mandatory
• password: mandatory","Logs an user, using credentials from the request body, and returns a JWT(authentication token)","400 Bad Request:
{ 
   description: ""Validation failed"",
   errors: {
      ""email"": [""Email is mandatory.""],
      ""password"": [""Password is mandatory.""] 
      }
}

401 Unauthorized:
{ 
   description: ""Authentication failed"",
   errors: {
      ""credentials"": [""Invalid email or password""] 
      }
}",POST,N/A,N/A,USERS,"200 OK:
{ ""accessToken"": <token>, 
    ""_links"": {
    ""cart"": { ""href"": ""/users/me/cart"" },
    ""orders"": { ""href"": ""/users/me/orders"" }
  }   
}",Not started,UC14: Autenticação (https://www.notion.so/UC14-Autentica-o-dde3d227cf9f4ffab3d510d00553a19b?pvs=21)
POST /operadores,None,"  • email: mandatory, must contain @ character and be unique
  • password: mandatory, minimum 10 characters
  • nome:mandatory(VARCHAR 100)",Creates an user account in the system,"400 Bad Request:
{ 
   description: ""Validation failed."",
   errors: {
      ""email"": [""Email is mandatory."",""Email must be a valid email address.""],
      ""password"": [""Password is mandatory."", ""Password must have at least 10 characters.""] 
      }
}

409 Conflict:
{ description: ""Resource conflict"",
   errors: {
      ""email"": [""A user with this email already exists""]
      }
}",POST,N/A,N/A,USERS,"201 Created:
{
   id: 1,
   links: {
      login: { ""href"": ""/users/login"" }
   }
}",Not started,UC20: Gerir utilizadores (https://www.notion.so/UC20-Gerir-utilizadores-02c1ebb8265c400e8b8be35379dea8a5?pvs=21)
PATCH /lampadas/{id_lampada},Mandatory,"• estado: Mandatory (VARCHAR)
• potencia_watts: optional (integer)
• luminosidade_max: Mandatory (FLOAT)
• luminosidade_min: Mandatory(FLOAT)",Atualiza parcialmente os dados de uma lâmpada.,"400 Bad Request
404 Not Found
401 Unauthorized
403 Forbidden",PATCH,- id_lampada: mandatory (integer),N/A,LAMPADA,"200 OK
{ ""id_lampada"": 5, ""estado"": ""ativa"", ""_links"": { ""self"": ""/lampadas/5"" } }",Not started,"UC10: Gerir lâmpadas (https://www.notion.so/UC10-Gerir-l-mpadas-7b9e1dfd7e964664bdb9687804f8f61d?pvs=21), UC6: Visualizar estado do sistema (https://www.notion.so/UC6-Visualizar-estado-do-sistema-9d89212969744e17916a005e1029deb3?pvs=21), UC5: Ajustar intensidade luminosa (https://www.notion.so/UC5-Ajustar-intensidade-luminosa-fcdc15b53e60430f89ad4b8b1ff7d71b?pvs=21)"
GET /zonas,Mandatory,N/A,Lista todas as zonas registadas no sistema.,"401 Unauthorized
403 Forbidden",GET,N/A,"nome — optional
codigo_postal — optional
id_sensor — optional",ZONA,"200 OK
[
  {
    ""id_zona"": 7,
    ""nome"": ""Zona Norte"",
    ""rua"": ""Rua Principal"",
    ""codigo_postal"": ""4420-123"",
    ""id_sensor"": 3
  }
]
",Not started,"UC12: Gerir zonas (https://www.notion.so/UC12-Gerir-zonas-4a190a30daf34559b906c1a75236449d?pvs=21), UC6: Visualizar estado do sistema (https://www.notion.so/UC6-Visualizar-estado-do-sistema-9d89212969744e17916a005e1029deb3?pvs=21)"
GET /postes/{id_poste},Mandatory,N/A,Obtém detalhes de um poste.,"404 Not Found
401 Unauthorized
403 Forbidden",GET,id_poste — mandatory,N/A,POSTE,"200 OK

{
  ""id_poste"": 15,
  ""estado"": ""ativo"",
  ""intensidade_atual"": 70,
  ""latitude"": 41.123456,
  ""longitude"": -8.567890,
  ""altura"": 8.5,
  ""data_instalacao"": ""2025-03-10"",
  ""id_zona"": 2,
  ""id_perfil"": 1
}
",Not started,UC9: Gerir postes (https://www.notion.so/UC9-Gerir-postes-d91c22ff11b8405a8b9d8a70928ef798?pvs=21)
GET /lampadas,Mandatory,N/A,Lista todas as lâmpadas registadas no sistema.,"401 Unauthorized
403 Forbidden",GET,N/A,"• id_poste: Mandatory (filter by post)
• page: Mandatory(default 1)
• limit: Mandatory (default 20)",LAMPADA,"200 OK

[
  {
    ""id_lampada"": 1,
    ""id_poste"": 3,
    ""modelo"": ""LED-XPTO"",
    ""estado"": ""ativa"",
    ""potencia_watts"": 50,
    ""luminosidade_max"": 800,
    ""luminosidade_min"": 200,
    ""tempo_vida_horas"": 50000
  }
]
",Not started,"UC10: Gerir lâmpadas (https://www.notion.so/UC10-Gerir-l-mpadas-7b9e1dfd7e964664bdb9687804f8f61d?pvs=21), UC6: Visualizar estado do sistema (https://www.notion.so/UC6-Visualizar-estado-do-sistema-9d89212969744e17916a005e1029deb3?pvs=21)"
GET /postes,Mandatory,N/A,Lista todos os postes registados no sistema.,"401 Unauthorized
403 Forbidden",GET,N/A,"id_zona — optional
id_perfil — optional
estado — optional",POSTE,"200 OK
[
  {
    ""id_poste"": 15,
    ""estado"": ""ativo"",
    ""intensidade_atual"": 70,
    ""latitude"": 41.123456,
    ""longitude"": -8.567890,
    ""altura"": 8.5,
    ""data_instalacao"": ""2025-03-10"",
    ""id_zona"": 2,
    ""id_perfil"": 1
  }
]
",Not started,"UC9: Gerir postes (https://www.notion.so/UC9-Gerir-postes-d91c22ff11b8405a8b9d8a70928ef798?pvs=21), UC6: Visualizar estado do sistema (https://www.notion.so/UC6-Visualizar-estado-do-sistema-9d89212969744e17916a005e1029deb3?pvs=21)"
GET /sensores-movimento,Mandatory,N/A,Lista todos os sensores de movimento registados no sistema.,"401 Unauthorized
403 Forbidden",GET,N/A,"• page: optional (default 1)
• limit: optional (default 20)
• estado: optional filter",SENSOR_MOVIMENTO,"200 OK
[
  {
    ""id_sensor"": 5,
    ""modelo"": ""SM-200"",
    ""sensibilidade"": 80,
    ""alcance"": 12.5,
    ""estado"": ""ativo"",
    ""ultimo_calibracao"": ""2026-03-10""
  }
]",Not started,"UC11: Gerir sensores (https://www.notion.so/UC11-Gerir-sensores-a36e414528874f3cb0cb0f9ec062d39a?pvs=21), UC6: Visualizar estado do sistema (https://www.notion.so/UC6-Visualizar-estado-do-sistema-9d89212969744e17916a005e1029deb3?pvs=21)"
POST /postes,Mandatory,"id_zona — mandatory
id_perfil — mandatory
estado — optional
intensidade_atual — optional
latitude — mandatory
longitude — mandatory
altura — mandatory
data_instalacao — mandatory",Cria um novo poste.,"400 Bad Request
401 Unauthorized
403 Forbidden",POST,N/A,N/A,POSTE,"201 Created
{
  ""id_poste"": 15,
  ""_links"": {
    ""self"": ""/postes/15"",
    ""zona"": ""/zonas/{id_zona}"",
    ""perfil"": ""/perfis-iluminacao/{id_perfil}""
  }
}
",Not started,"UC9: Gerir postes (https://www.notion.so/UC9-Gerir-postes-d91c22ff11b8405a8b9d8a70928ef798?pvs=21), UC6: Visualizar estado do sistema (https://www.notion.so/UC6-Visualizar-estado-do-sistema-9d89212969744e17916a005e1029deb3?pvs=21)"
POST /perfis-iluminacao,Mandatory,"nome — mandatory
hora_inicio — mandatory
hora_fim — mandatory
intensidade — mandatory","Cria um novo perfil de iluminação, definindo horários e intensidade luminosa.","400 Bad Request
401 Unauthorized
403 Forbidden",POST,N/A,N/A,PERFIL_ILUMINACAO,"201 Created

{
  ""id_perfil"": 4,
  ""_links"": {
    ""self"": ""/perfis-iluminacao/4""
  }
}
",Not started,"UC1: Criar perfil de iluminação (https://www.notion.so/UC1-Criar-perfil-de-ilumina-o-1d4c18e679604daea514fbfec86cb6da?pvs=21), UC2: Aplicar perfil a poste (https://www.notion.so/UC2-Aplicar-perfil-a-poste-ad8a70ff883c45cb85a287ca360fbbc4?pvs=21)"
